time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact
1656331270,c1e7e7,43.667046498444115,-79.6230043683733,,,,,True,False,False,,,,1656331264.943,1656331264.943
1656331270,ac71e7,43.67599616616459,-79.5973696027483,,,,AAL1746 ,True,False,False,2237,,,1656331269.975,1656331269.975
1656331270,c07f2e,43.68949631513175,-79.63513510567799,,,,WEN3218 ,True,False,False,3414,144.78,,1656331268.14,1656331269.327
1656331270,c1e7e3,43.66832668498411,-79.60408891950334,,,,RED3    ,True,False,False,,,,1656331267.669,1656331267.902
1656331270,c05bd5,43.67976379394531,-79.62017148040064,,,,ACA604  ,True,False,False,,,,1656331268.74,1656331268.74
1656331270,c060b3,43.34165954589844,-79.11261270212572,123.33359036459102,340.506938088849,-5.52704,POE118  ,False,False,False,4361,1714.5,1729.74,1656331269.891,1656331269.974
1656331270,c0371f,43.5640869140625,-79.84377838844472,138.43228263572686,338.87076688722186,16.90624,WJA701  ,False,False,False,2244,2682.2400000000002,2697.48,1656331269.861,1656331269.974
1656331270,a162fc,43.691602803893005,-79.1460963657924,231.0265994982927,45.99242605307374,-12.354560000000001,N189K   ,False,False,False,6640,4693.92,4747.26,1656331269.973,1656331269.974
1656331270,c063c3,43.73387145996094,-80.17624256222746,93.14988512528019,178.41764607738142,-2.60096,CGLUG   ,False,False,False,0654,1249.68,1242.0600000000002,1656331269.891,1656331269.891
1656331280,c060b3,43.35214388572563,-79.11771501813615,122.84875325570219,340.4268741695898,-4.8768,POE118  ,False,False,False,4361,1661.16,1676.4,1656331279.939,1656331279.939
1656331280,c063c3,43.725860595703125,-80.17598706622454,93.14988512528019,178.41764607738142,-2.9260800000000002,CGLUG   ,False,False,False,0654,1219.2,1219.2000000000003,1656331279.527,1656331279.719
1656331280,c05bd5,43.67962724071438,-79.62037222726002,,,,ACA604  ,True,False,False,,,,1656331277.293,1656331277.293
1656331280,a162fc,43.70521545410156,-79.1266649822856,227.75987758371176,46.09818715074004,-12.354560000000001,N189K   ,False,False,False,6640,4579.62,4632.96,1656331279.934,1656331279.935
1656331280,c0371f,43.575347900390625,-79.84965479651163,139.77075203679817,337.49368826019236,15.60576,WJA701  ,False,False,False,2244,2842.26,2865.1200000000003,1656331279.526,1656331279.934
1656331280,c066f4,43.681617736816406,-79.61554061534792,,,,ACA402  ,True,False,False,2214,144.78,,1656331268.759,1656331275.008
1656331280,c07eda,43.87655484474311,-79.74092755998885,152.33102941503572,91.54815769897799,-6.827520000000001,WJA520  ,False,False,False,7165,2346.96,2369.82,1656331279.843,1656331279.935
1656331280,c0636a,43.63816083487818,-79.35215541294644,58.40695497595334,275.55994726330954,-3.5763200000000004,POE532  ,False,False,False,5537,259.08000000000004,251.46000000000004,1656331279.626,1656331279.932
1656331280,c040c5,43.67306337518207,-79.60928780691967,,,,ROU1790 ,True,False,False,2231,152.4,,1656331278.866,1656331279.43
1656331280,a73db7,43.136467367915785,-79.65218680245539,123.30032554992513,274.3070321860023,0.0,N566FF  ,False,False,False,3413,9144.0,9441.18,1656331279.842,1656331279.96
1656331280,a3183d,43.27500915527344,-78.87493754542152,266.09488469752876,100.24540075655337,0.32512,EDV5130 ,False,False,False,6257,10668.0,11056.62,1656331279.601,1656331279.932
1656331280,c1e7e3,43.66832668498411,-79.60408891950334,,,,RED3    ,True,False,False,,,,1656331267.669,1656331267.902
1656331280,78149e,43.67842852059057,-79.65452466692244,50.948140167879416,226.63657704161673,0.0,CSN5051 ,True,False,False,4153,144.78,,1656331274.075,1656331279.889
